Operation,Heap Type,Size,Time (ms)
insert,Binomial,100,0.11102767894044518
insert,Binomial,500,0.6348610040731728
insert,Binomial,1000,1.2704443264131744
insert,Binomial,2000,2.7216246720248214
insert,Binomial,5000,8.19591666610601
insert,Fibonacci,100,0.03341666888445616
insert,Fibonacci,500,0.14411133209553859
insert,Fibonacci,1000,0.2835693206482877
insert,Fibonacci,2000,0.6163613385676096
insert,Fibonacci,5000,1.4518753256804
insert,MinMax,100,0.05754134811771413
insert,MinMax,500,0.38262500311248004
insert,MinMax,1000,0.6438750036371251
insert,MinMax,2000,1.26141700699615
insert,MinMax,5000,3.094153003379082
insert,Pairing,100,0.03554133581928909
insert,Pairing,500,0.14931966628258428
insert,Pairing,1000,0.28477767288374406
insert,Pairing,2000,0.5607639905065298
insert,Pairing,5000,1.4596253361863394
insert,Leftist,100,0.11480499718648692
insert,Leftist,500,0.7453753496520221
insert,Leftist,1000,1.7745836715524395
insert,Leftist,2000,3.57470834084476
insert,Leftist,5000,9.902916664335256
insert,Skew,100,0.05190266529098153
insert,Skew,500,0.3155003165981422
insert,Skew,1000,0.6971666783404847
insert,Skew,2000,3.9375550113618374
insert,Skew,5000,4.0243750166458385
delete_min,Binomial,100,0.13774967131515345
delete_min,Binomial,500,0.9518053266219795
delete_min,Binomial,1000,2.0937086665071547
delete_min,Binomial,2000,4.781458342525487
delete_min,Binomial,5000,13.295541662955657
delete_min,Fibonacci,100,0.22495832915107408
delete_min,Fibonacci,500,1.428638652820761
delete_min,Fibonacci,1000,3.210000005007411
delete_min,Fibonacci,2000,7.084514004721616
delete_min,Fibonacci,5000,19.913208670914173
delete_min,MinMax,100,0.22165299742482603
delete_min,MinMax,500,1.548388662437598
delete_min,MinMax,1000,3.3395833355219415
delete_min,MinMax,2000,7.5379030022304505
delete_min,MinMax,5000,21.040332998381928
delete_min,Pairing,100,0.09462499292567372
delete_min,Pairing,500,0.6053196654344598
delete_min,Pairing,1000,1.3416110014077276
delete_min,Pairing,2000,2.8799723368138075
delete_min,Pairing,5000,8.334833333113542
delete_min,Leftist,100,0.09966666887824734
delete_min,Leftist,500,0.7125970053796967
delete_min,Leftist,1000,1.6174723374812554
delete_min,Leftist,2000,3.6255693315373114
delete_min,Leftist,5000,10.166763657859216
delete_min,Skew,100,0.037930672988295555
delete_min,Skew,500,0.2437639923300594
delete_min,Skew,1000,0.5819720002667358
delete_min,Skew,2000,1.2391806618931394
delete_min,Skew,5000,3.418333323982855
find_min,Binomial,100,0.08138899769013126
find_min,Binomial,500,0.08031900506466627
find_min,Binomial,1000,0.08074999398862322
find_min,Binomial,2000,0.08037500083446503
find_min,Binomial,5000,0.08076400263234973
find_min,Fibonacci,100,0.06843066269842286
find_min,Fibonacci,500,0.0678196568818142
find_min,Fibonacci,1000,0.06788866206382711
find_min,Fibonacci,2000,0.06788866206382711
find_min,Fibonacci,5000,0.06784734432585537
find_min,MinMax,100,0.07926399121060967
find_min,MinMax,500,0.08276400816005965
find_min,MinMax,1000,0.08269399404525757
find_min,MinMax,2000,0.08270833253239591
find_min,MinMax,5000,0.08269465373208125
find_min,Pairing,100,0.06852765606405835
find_min,Pairing,500,0.06781932703840236
find_min,Pairing,1000,0.06784666523647805
find_min,Pairing,2000,0.06804201014650364
find_min,Pairing,5000,0.06805565984298785
find_min,Leftist,100,0.06952799352196355
find_min,Leftist,500,0.06881966449630757
find_min,Leftist,1000,0.06788900160851578
find_min,Leftist,2000,0.0679996640731891
find_min,Leftist,5000,0.06876366872650881
find_min,Skew,100,0.06940267242801686
find_min,Skew,500,0.06784732492330174
find_min,Skew,1000,0.06793032904776435
find_min,Skew,2000,0.0678329961374402
find_min,Skew,5000,0.0677920082428803
merge,Binomial,100,0.0031943394181629023
merge,Binomial,500,0.003042000268275539
merge,Binomial,1000,0.003194669261574745
merge,Binomial,2000,0.003000352686891953
merge,Binomial,5000,0.0026803366684665284
merge,Fibonacci,100,0.002555335716654857
merge,Fibonacci,500,0.00037500285543501377
merge,Fibonacci,1000,0.0004719962210704883
merge,Fibonacci,2000,0.00043033893841008347
merge,Fibonacci,5000,0.0004443378808597724
merge,Pairing,100,0.00154166870440046
merge,Pairing,500,0.0003196570711831252
merge,Pairing,1000,0.00036133375639716786
merge,Pairing,2000,0.00029166888756056625
merge,Pairing,5000,0.00030566783001025516
merge,Leftist,100,0.003068998921662569
merge,Leftist,500,0.0024446635507047176
merge,Leftist,1000,0.0026250005854914584
merge,Leftist,2000,0.003694013381997744
merge,Leftist,5000,0.005667010555043817
merge,Skew,100,0.0017776619642972946
merge,Skew,500,0.0011249988650282223
merge,Skew,1000,0.0011666658489654462
merge,Skew,2000,0.002222009546433886
merge,Skew,5000,0.0019026629161089659
